VendaID,ClienteID,ProdutoID,Quantidade,Preço_x,Valor,Data,Total,Cliente,Cidade,Produto,Categoria,Preço_y
4934,114,7,2,480.0,960.0,2024-07-08,960.0,Oliver Peixoto,Olinda,SSD 1TB,Hardware,480
1739,68,15,1,5200.0,5200.0,2024-07-08,5200.0,Asafe Cunha,Petrolina,Placa de Vídeo RTX,Hardware,5200
359,156,4,4,320.0,1280.0,2024-07-08,1280.0,Maria Vitória Freitas,Petrolina,Teclado Mecânico,Periféricos,320
1752,101,15,3,5200.0,15600.0,2024-07-08,15600.0,Clarice Costela,Paulista,Placa de Vídeo RTX,Hardware,5200
2170,25,9,3,350.0,1050.0,2024-07-09,1050.0,Raul Guerra,Garanhuns,Headset Gamer,Áudio,350
4535,126,1,3,4200.0,12600.0,2024-07-09,12600.0,Mariah Leão,Igarassu,Notebook Dell,Informática,4200
3722,182,6,5,1700.0,8500.0,2024-07-09,8500.0,Dante Andrade,Paulista,Monitor 27,Monitores,1700
887,192,1,3,4200.0,12600.0,2024-07-09,12600.0,João Vitor Novais,Olinda,Notebook Dell,Informática,4200
648,18,12,4,1550.0,6200.0,2024-07-09,6200.0,Murilo Gonçalves,Abreu e Lima,Cadeira Gamer,Móveis,1550
1468,77,7,4,480.0,1920.0,2024-07-09,1920.0,Paulo Brito,Jaboatão,SSD 1TB,Hardware,480
2857,148,13,5,870.0,4350.0,2024-07-09,4350.0,Rodrigo Andrade,Paulista,Mesa Escritório,Móveis,870
32,125,7,4,480.0,1920.0,2024-07-09,1920.0,Vitor Hugo Fonseca,Garanhuns,SSD 1TB,Hardware,480
3540,75,10,5,270.0,1350.0,2024-07-09,1350.0,Dra. Isis da Rosa,Igarassu,Webcam Full HD,Vídeo,270
2659,28,12,2,1550.0,3100.0,2024-07-09,3100.0,Liz Novaes,Recife,Cadeira Gamer,Móveis,1550
218,100,8,4,420.0,1680.0,2024-07-10,1680.0,Maria Laura Cirino,Jaboatão,HD 2TB,Hardware,420
3869,122,5,5,1100.0,5500.0,2024-07-10,5500.0,Maria Fernanda Freitas,Cabo de Santo Agostinho,Monitor 24,Monitores,1100
1066,50,1,5,4200.0,21000.0,2024-07-10,21000.0,Catarina Barros,Igarassu,Notebook Dell,Informática,4200
677,2,7,3,480.0,1440.0,2024-07-10,1440.0,Asafe Viana,Recife,SSD 1TB,Hardware,480
4564,142,9,1,350.0,350.0,2024-07-10,350.0,Srta. Stephany da Cruz,Jaboatão,Headset Gamer,Áudio,350
1671,110,10,1,270.0,270.0,2024-07-10,270.0,Ana Júlia Vieira,Paulista,Webcam Full HD,Vídeo,270
3942,28,6,1,1700.0,1700.0,2024-07-11,1700.0,Liz Novaes,Recife,Monitor 27,Monitores,1700
712,128,13,1,870.0,870.0,2024-07-11,870.0,Luísa Sousa,Igarassu,Mesa Escritório,Móveis,870
1099,153,11,1,980.0,980.0,2024-07-11,980.0,Josué Freitas,Igarassu,Impressora Epson,Escritório,980
994,15,6,5,1700.0,8500.0,2024-07-11,8500.0,Sra. Ester Novaes,Paulista,Monitor 27,Monitores,1700
4454,121,12,2,1550.0,3100.0,2024-07-11,3100.0,Ana Júlia Melo,Olinda,Cadeira Gamer,Móveis,1550
1639,168,6,3,1700.0,5100.0,2024-07-11,5100.0,Nina Caldeira,Garanhuns,Monitor 27,Monitores,1700
690,14,6,1,1700.0,1700.0,2024-07-11,1700.0,Leandro Cavalcanti,Olinda,Monitor 27,Monitores,1700
1120,170,14,3,450.0,1350.0,2024-07-11,1350.0,Srta. Manuella Mendes,Igarassu,Microfone USB,Áudio,450
4986,152,7,1,480.0,480.0,2024-07-11,480.0,Matheus Borges,Igarassu,SSD 1TB,Hardware,480
4726,159,12,5,1550.0,7750.0,2024-07-12,7750.0,Melissa Albuquerque,Olinda,Cadeira Gamer,Móveis,1550
396,113,11,4,980.0,3920.0,2024-07-12,3920.0,Francisco Leão,Garanhuns,Impressora Epson,Escritório,980
3498,17,2,1,3900.0,3900.0,2024-07-12,3900.0,Maria Laura Gonçalves,Igarassu,Notebook Lenovo,Informática,3900
4747,96,6,1,1700.0,1700.0,2024-07-13,1700.0,João Felipe Nogueira,Cabo de Santo Agostinho,Monitor 27,Monitores,1700
2878,106,15,4,5200.0,20800.0,2024-07-13,20800.0,Lucas Gabriel Caldeira,Cabo de Santo Agostinho,Placa de Vídeo RTX,Hardware,5200
2424,98,2,1,3900.0,3900.0,2024-07-13,3900.0,Ana Laura Moura,Jaboatão,Notebook Lenovo,Informática,3900
2453,135,11,3,980.0,2940.0,2024-07-13,2940.0,Caio Machado,Caruaru,Impressora Epson,Escritório,980
1546,133,14,2,450.0,900.0,2024-07-13,900.0,Beatriz Pereira,Petrolina,Microfone USB,Áudio,450
256,33,14,2,450.0,900.0,2024-07-13,900.0,Isabela das Neves,Jaboatão,Microfone USB,Áudio,450
2854,106,14,1,450.0,450.0,2024-07-13,450.0,Lucas Gabriel Caldeira,Cabo de Santo Agostinho,Microfone USB,Áudio,450
3170,63,8,1,420.0,420.0,2024-07-14,420.0,Sra. Olívia Silveira,Cabo de Santo Agostinho,HD 2TB,Hardware,420
1149,158,5,1,1100.0,1100.0,2024-07-14,1100.0,Ana Beatriz Pereira,Recife,Monitor 24,Monitores,1100
1347,76,11,4,980.0,3920.0,2024-07-14,3920.0,Vitor Siqueira,Paulista,Impressora Epson,Escritório,980
4714,170,11,1,980.0,980.0,2024-07-14,980.0,Srta. Manuella Mendes,Igarassu,Impressora Epson,Escritório,980
2783,69,7,5,480.0,2400.0,2024-07-14,2400.0,Thales Novaes,Petrolina,SSD 1TB,Hardware,480
3461,172,14,4,450.0,1800.0,2024-07-14,1800.0,Elisa Carvalho,Jaboatão,Microfone USB,Áudio,450
2359,127,9,2,350.0,700.0,2024-07-15,700.0,Bárbara Sampaio,Caruaru,Headset Gamer,Áudio,350
622,16,11,1,980.0,980.0,2024-07-15,980.0,Dr. Isaac Cunha,Paulista,Impressora Epson,Escritório,980
2081,13,4,2,320.0,640.0,2024-07-15,640.0,Yago Silva,Recife,Teclado Mecânico,Periféricos,320
3386,120,10,1,270.0,270.0,2024-07-15,270.0,Sofia Casa Grande,Abreu e Lima,Webcam Full HD,Vídeo,270
3203,118,14,5,450.0,2250.0,2024-07-15,2250.0,Maria Luísa Pires,Jaboatão,Microfone USB,Áudio,450
4559,77,14,4,450.0,1800.0,2024-07-15,1800.0,Paulo Brito,Jaboatão,Microfone USB,Áudio,450
2487,27,8,4,420.0,1680.0,2024-07-15,1680.0,Fernando da Paz,Caruaru,HD 2TB,Hardware,420
59,145,8,5,420.0,2100.0,2024-07-15,2100.0,Sr. João Lucas Câmara,Caruaru,HD 2TB,Hardware,420
522,147,4,4,320.0,1280.0,2024-07-15,1280.0,Alícia das Neves,Abreu e Lima,Teclado Mecânico,Periféricos,320
2795,196,9,1,350.0,350.0,2024-07-16,350.0,Cauã Silva,Igarassu,Headset Gamer,Áudio,350
3481,46,7,4,480.0,1920.0,2024-07-16,1920.0,Noah Moreira,Igarassu,SSD 1TB,Hardware,480
2041,183,3,4,180.0,720.0,2024-07-16,720.0,Fernanda Melo,Caruaru,Mouse Gamer,Periféricos,180
2100,104,5,5,1100.0,5500.0,2024-07-16,5500.0,Julia Câmara,Caruaru,Monitor 24,Monitores,1100
1881,147,2,2,3900.0,7800.0,2024-07-16,7800.0,Alícia das Neves,Abreu e Lima,Notebook Lenovo,Informática,3900
4638,115,14,3,450.0,1350.0,2024-07-16,1350.0,Ester Novaes,Recife,Microfone USB,Áudio,450
3192,18,4,1,320.0,320.0,2024-07-16,320.0,Murilo Gonçalves,Abreu e Lima,Teclado Mecânico,Periféricos,320
2577,140,14,3,450.0,1350.0,2024-07-16,1350.0,Srta. Ágatha Nascimento,Caruaru,Microfone USB,Áudio,450
1766,89,12,4,1550.0,6200.0,2024-07-16,6200.0,Dom Sales,Caruaru,Cadeira Gamer,Móveis,1550
3506,183,6,4,1700.0,6800.0,2024-07-16,6800.0,Fernanda Melo,Caruaru,Monitor 27,Monitores,1700
232,186,2,4,3900.0,15600.0,2024-07-16,15600.0,Dr. Benício Nunes,Garanhuns,Notebook Lenovo,Informática,3900
3658,164,3,5,180.0,900.0,2024-07-16,900.0,Sr. Felipe Cirino,Paulista,Mouse Gamer,Periféricos,180
2498,67,6,2,1700.0,3400.0,2024-07-17,3400.0,Fernando das Neves,Jaboatão,Monitor 27,Monitores,1700
4109,196,3,5,180.0,900.0,2024-07-17,900.0,Cauã Silva,Igarassu,Mouse Gamer,Periféricos,180
4156,55,6,4,1700.0,6800.0,2024-07-17,6800.0,Asafe Alves,Paulista,Monitor 27,Monitores,1700
4128,17,6,1,1700.0,1700.0,2024-07-17,1700.0,Maria Laura Gonçalves,Igarassu,Monitor 27,Monitores,1700
3425,181,9,3,350.0,1050.0,2024-07-17,1050.0,Letícia Silveira,Igarassu,Headset Gamer,Áudio,350
4307,145,1,4,4200.0,16800.0,2024-07-17,16800.0,Sr. João Lucas Câmara,Caruaru,Notebook Dell,Informática,4200
1585,163,11,4,980.0,3920.0,2024-07-18,3920.0,José Miguel Azevedo,Recife,Impressora Epson,Escritório,980
2506,17,15,5,5200.0,26000.0,2024-07-18,26000.0,Maria Laura Gonçalves,Igarassu,Placa de Vídeo RTX,Hardware,5200
3012,49,12,4,1550.0,6200.0,2024-07-18,6200.0,Davi Lucas da Cruz,Olinda,Cadeira Gamer,Móveis,1550
1928,139,9,4,350.0,1400.0,2024-07-18,1400.0,Sabrina Rios,Recife,Headset Gamer,Áudio,350
750,195,3,5,180.0,900.0,2024-07-18,900.0,Henry Jesus,Abreu e Lima,Mouse Gamer,Periféricos,180
1777,128,14,1,450.0,450.0,2024-07-19,450.0,Luísa Sousa,Igarassu,Microfone USB,Áudio,450
4157,59,6,5,1700.0,8500.0,2024-07-19,8500.0,Marcelo Montenegro,Caruaru,Monitor 27,Monitores,1700
247,121,5,1,1100.0,1100.0,2024-07-19,1100.0,Ana Júlia Melo,Olinda,Monitor 24,Monitores,1100
1636,174,5,5,1100.0,5500.0,2024-07-19,5500.0,Gael Andrade,Igarassu,Monitor 24,Monitores,1100
1326,190,13,2,870.0,1740.0,2024-07-19,1740.0,Cecília Montenegro,Paulista,Mesa Escritório,Móveis,870
397,154,15,1,5200.0,5200.0,2024-07-19,5200.0,Clarice Lopes,Recife,Placa de Vídeo RTX,Hardware,5200
2116,142,12,5,1550.0,7750.0,2024-07-19,7750.0,Srta. Stephany da Cruz,Jaboatão,Cadeira Gamer,Móveis,1550
3692,164,4,1,320.0,320.0,2024-07-19,320.0,Sr. Felipe Cirino,Paulista,Teclado Mecânico,Periféricos,320
1145,55,5,4,1100.0,4400.0,2024-07-20,4400.0,Asafe Alves,Paulista,Monitor 24,Monitores,1100
1600,22,2,2,3900.0,7800.0,2024-07-20,7800.0,Dr. Caleb Ribeiro,Igarassu,Notebook Lenovo,Informática,3900
1922,189,14,3,450.0,1350.0,2024-07-20,1350.0,Enrico Pacheco,Olinda,Microfone USB,Áudio,450
1027,107,6,4,1700.0,6800.0,2024-07-20,6800.0,Antonella Barros,Abreu e Lima,Monitor 27,Monitores,1700
1251,105,1,3,4200.0,12600.0,2024-07-20,12600.0,Nina da Costa,Abreu e Lima,Notebook Dell,Informática,4200
2650,37,14,5,450.0,2250.0,2024-07-20,2250.0,João Guilherme Silveira,Olinda,Microfone USB,Áudio,450
1973,68,8,1,420.0,420.0,2024-07-20,420.0,Asafe Cunha,Petrolina,HD 2TB,Hardware,420
1553,102,13,4,870.0,3480.0,2024-07-21,3480.0,Mariane da Rosa,Igarassu,Mesa Escritório,Móveis,870
3951,89,13,4,870.0,3480.0,2024-07-21,3480.0,Dom Sales,Caruaru,Mesa Escritório,Móveis,870
1227,141,11,1,980.0,980.0,2024-07-21,980.0,Kamilly Aparecida,Igarassu,Impressora Epson,Escritório,980
843,112,3,2,180.0,360.0,2024-07-21,360.0,Maysa Cardoso,Igarassu,Mouse Gamer,Periféricos,180
4081,132,6,1,1700.0,1700.0,2024-07-21,1700.0,Sarah Pimenta,Caruaru,Monitor 27,Monitores,1700
4669,125,14,2,450.0,900.0,2024-07-22,900.0,Vitor Hugo Fonseca,Garanhuns,Microfone USB,Áudio,450
213,17,8,2,420.0,840.0,2024-07-22,840.0,Maria Laura Gonçalves,Igarassu,HD 2TB,Hardware,420
4402,153,4,2,320.0,640.0,2024-07-22,640.0,Josué Freitas,Igarassu,Teclado Mecânico,Periféricos,320
3528,79,10,2,270.0,540.0,2024-07-22,540.0,Evelyn Pinto,Cabo de Santo Agostinho,Webcam Full HD,Vídeo,270
500,136,6,2,1700.0,3400.0,2024-07-22,3400.0,Henry Gabriel Novaes,Cabo de Santo Agostinho,Monitor 27,Monitores,1700
3983,96,6,2,1700.0,3400.0,2024-07-22,3400.0,João Felipe Nogueira,Cabo de Santo Agostinho,Monitor 27,Monitores,1700
565,163,1,1,4200.0,4200.0,2024-07-23,4200.0,José Miguel Azevedo,Recife,Notebook Dell,Informática,4200
1466,43,14,1,450.0,450.0,2024-07-23,450.0,Enrico Sampaio,Caruaru,Microfone USB,Áudio,450
1394,142,12,4,1550.0,6200.0,2024-07-23,6200.0,Srta. Stephany da Cruz,Jaboatão,Cadeira Gamer,Móveis,1550
3964,79,7,2,480.0,960.0,2024-07-23,960.0,Evelyn Pinto,Cabo de Santo Agostinho,SSD 1TB,Hardware,480
4930,100,10,3,270.0,810.0,2024-07-23,810.0,Maria Laura Cirino,Jaboatão,Webcam Full HD,Vídeo,270
3280,135,2,5,3900.0,19500.0,2024-07-23,19500.0,Caio Machado,Caruaru,Notebook Lenovo,Informática,3900
1174,155,5,5,1100.0,5500.0,2024-07-24,5500.0,Caleb Moraes,Abreu e Lima,Monitor 24,Monitores,1100
1738,18,12,5,1550.0,7750.0,2024-07-24,7750.0,Murilo Gonçalves,Abreu e Lima,Cadeira Gamer,Móveis,1550
1554,189,14,1,450.0,450.0,2024-07-24,450.0,Enrico Pacheco,Olinda,Microfone USB,Áudio,450
638,185,7,5,480.0,2400.0,2024-07-24,2400.0,Mariana Freitas,Petrolina,SSD 1TB,Hardware,480
111,61,12,2,1550.0,3100.0,2024-07-24,3100.0,Joana Pastor,Paulista,Cadeira Gamer,Móveis,1550
3263,50,10,2,270.0,540.0,2024-07-24,540.0,Catarina Barros,Igarassu,Webcam Full HD,Vídeo,270
1144,192,3,3,180.0,540.0,2024-07-25,540.0,João Vitor Novais,Olinda,Mouse Gamer,Periféricos,180
1644,126,14,4,450.0,1800.0,2024-07-25,1800.0,Mariah Leão,Igarassu,Microfone USB,Áudio,450
3073,27,13,4,870.0,3480.0,2024-07-25,3480.0,Fernando da Paz,Caruaru,Mesa Escritório,Móveis,870
2137,120,8,2,420.0,840.0,2024-07-25,840.0,Sofia Casa Grande,Abreu e Lima,HD 2TB,Hardware,420
1119,144,2,2,3900.0,7800.0,2024-07-25,7800.0,Amanda Vieira,Olinda,Notebook Lenovo,Informática,3900
4806,18,15,3,5200.0,15600.0,2024-07-25,15600.0,Murilo Gonçalves,Abreu e Lima,Placa de Vídeo RTX,Hardware,5200
4544,145,13,3,870.0,2610.0,2024-07-25,2610.0,Sr. João Lucas Câmara,Caruaru,Mesa Escritório,Móveis,870
709,196,10,2,270.0,540.0,2024-07-25,540.0,Cauã Silva,Igarassu,Webcam Full HD,Vídeo,270
2735,179,2,5,3900.0,19500.0,2024-07-25,19500.0,Marina Fonseca,Cabo de Santo Agostinho,Notebook Lenovo,Informática,3900
4233,146,14,1,450.0,450.0,2024-07-25,450.0,Daniela Fogaça,Igarassu,Microfone USB,Áudio,450
1287,154,8,5,420.0,2100.0,2024-07-25,2100.0,Clarice Lopes,Recife,HD 2TB,Hardware,420
618,158,6,2,1700.0,3400.0,2024-07-25,3400.0,Ana Beatriz Pereira,Recife,Monitor 27,Monitores,1700
2331,21,9,2,350.0,700.0,2024-07-25,700.0,Zoe Casa Grande,Paulista,Headset Gamer,Áudio,350
3273,110,3,2,180.0,360.0,2024-07-26,360.0,Ana Júlia Vieira,Paulista,Mouse Gamer,Periféricos,180
4574,190,2,1,3900.0,3900.0,2024-07-26,3900.0,Cecília Montenegro,Paulista,Notebook Lenovo,Informática,3900
2016,164,6,2,1700.0,3400.0,2024-07-27,3400.0,Sr. Felipe Cirino,Paulista,Monitor 27,Monitores,1700
4721,72,6,1,1700.0,1700.0,2024-07-27,1700.0,Dr. João Felipe Vieira,Olinda,Monitor 27,Monitores,1700
691,41,2,2,3900.0,7800.0,2024-07-27,7800.0,Isabel Correia,Petrolina,Notebook Lenovo,Informática,3900
251,200,10,1,270.0,270.0,2024-07-27,270.0,Isabelly Sá,Recife,Webcam Full HD,Vídeo,270
261,43,6,3,1700.0,5100.0,2024-07-27,5100.0,Enrico Sampaio,Caruaru,Monitor 27,Monitores,1700
3699,86,14,4,450.0,1800.0,2024-07-28,1800.0,Sra. Larissa Pereira,Recife,Microfone USB,Áudio,450
362,98,9,5,350.0,1750.0,2024-07-28,1750.0,Ana Laura Moura,Jaboatão,Headset Gamer,Áudio,350
1361,135,13,1,870.0,870.0,2024-07-28,870.0,Caio Machado,Caruaru,Mesa Escritório,Móveis,870
3308,178,14,3,450.0,1350.0,2024-07-28,1350.0,Dra. Camila Camargo,Abreu e Lima,Microfone USB,Áudio,450
2818,67,13,5,870.0,4350.0,2024-07-28,4350.0,Fernando das Neves,Jaboatão,Mesa Escritório,Móveis,870
4396,1,2,2,3900.0,7800.0,2024-07-28,7800.0,Marina Macedo,Olinda,Notebook Lenovo,Informática,3900
3476,34,15,1,5200.0,5200.0,2024-07-29,5200.0,Raquel Ribeiro,Paulista,Placa de Vídeo RTX,Hardware,5200
262,156,12,5,1550.0,7750.0,2024-07-29,7750.0,Maria Vitória Freitas,Petrolina,Cadeira Gamer,Móveis,1550
4338,61,13,2,870.0,1740.0,2024-07-29,1740.0,Joana Pastor,Paulista,Mesa Escritório,Móveis,870
136,112,12,3,1550.0,4650.0,2024-07-29,4650.0,Maysa Cardoso,Igarassu,Cadeira Gamer,Móveis,1550
1691,178,5,4,1100.0,4400.0,2024-07-29,4400.0,Dra. Camila Camargo,Abreu e Lima,Monitor 24,Monitores,1100
4427,173,11,4,980.0,3920.0,2024-07-29,3920.0,Laura Barbosa,Garanhuns,Impressora Epson,Escritório,980
2091,155,7,4,480.0,1920.0,2024-07-29,1920.0,Caleb Moraes,Abreu e Lima,SSD 1TB,Hardware,480
4390,189,5,5,1100.0,5500.0,2024-07-29,5500.0,Enrico Pacheco,Olinda,Monitor 24,Monitores,1100
4800,108,7,5,480.0,2400.0,2024-07-29,2400.0,Oliver Montenegro,Cabo de Santo Agostinho,SSD 1TB,Hardware,480
1591,159,12,4,1550.0,6200.0,2024-07-29,6200.0,Melissa Albuquerque,Olinda,Cadeira Gamer,Móveis,1550
1751,138,15,2,5200.0,10400.0,2024-07-30,10400.0,Brenda Castro,Garanhuns,Placa de Vídeo RTX,Hardware,5200
4399,22,15,5,5200.0,26000.0,2024-07-30,26000.0,Dr. Caleb Ribeiro,Igarassu,Placa de Vídeo RTX,Hardware,5200
827,121,15,3,5200.0,15600.0,2024-07-30,15600.0,Ana Júlia Melo,Olinda,Placa de Vídeo RTX,Hardware,5200
3804,45,10,2,270.0,540.0,2024-07-30,540.0,Sra. Sabrina Mendonça,Garanhuns,Webcam Full HD,Vídeo,270
2363,49,4,2,320.0,640.0,2024-07-30,640.0,Davi Lucas da Cruz,Olinda,Teclado Mecânico,Periféricos,320
4759,173,12,5,1550.0,7750.0,2024-07-30,7750.0,Laura Barbosa,Garanhuns,Cadeira Gamer,Móveis,1550
4215,76,13,2,870.0,1740.0,2024-07-30,1740.0,Vitor Siqueira,Paulista,Mesa Escritório,Móveis,870
3316,157,9,5,350.0,1750.0,2024-07-31,1750.0,Bento Jesus,Garanhuns,Headset Gamer,Áudio,350
1398,112,8,4,420.0,1680.0,2024-07-31,1680.0,Maysa Cardoso,Igarassu,HD 2TB,Hardware,420
704,12,5,3,1100.0,3300.0,2024-07-31,3300.0,Pedro da Rosa,Recife,Monitor 24,Monitores,1100
1670,117,11,4,980.0,3920.0,2024-07-31,3920.0,Leonardo Sá,Jaboatão,Impressora Epson,Escritório,980
2432,140,7,5,480.0,2400.0,2024-08-01,2400.0,Srta. Ágatha Nascimento,Caruaru,SSD 1TB,Hardware,480
271,27,9,2,350.0,700.0,2024-08-01,700.0,Fernando da Paz,Caruaru,Headset Gamer,Áudio,350
3909,189,10,3,270.0,810.0,2024-08-01,810.0,Enrico Pacheco,Olinda,Webcam Full HD,Vídeo,270
2369,32,4,5,320.0,1600.0,2024-08-01,1600.0,Júlia da Paz,Caruaru,Teclado Mecânico,Periféricos,320
3772,30,9,1,350.0,350.0,2024-08-02,350.0,Lunna Borges,Cabo de Santo Agostinho,Headset Gamer,Áudio,350
1659,110,7,2,480.0,960.0,2024-08-02,960.0,Ana Júlia Vieira,Paulista,SSD 1TB,Hardware,480
64,172,8,2,420.0,840.0,2024-08-02,840.0,Elisa Carvalho,Jaboatão,HD 2TB,Hardware,420
3729,138,7,5,480.0,2400.0,2024-08-02,2400.0,Brenda Castro,Garanhuns,SSD 1TB,Hardware,480
1345,142,10,3,270.0,810.0,2024-08-02,810.0,Srta. Stephany da Cruz,Jaboatão,Webcam Full HD,Vídeo,270
2898,9,2,1,3900.0,3900.0,2024-08-02,3900.0,Srta. Stephany Andrade,Olinda,Notebook Lenovo,Informática,3900
4614,6,2,4,3900.0,15600.0,2024-08-02,15600.0,Dr. Rael Pereira,Jaboatão,Notebook Lenovo,Informática,3900
3885,143,10,1,270.0,270.0,2024-08-02,270.0,Benício da Conceição,Igarassu,Webcam Full HD,Vídeo,270
4509,73,7,1,480.0,480.0,2024-08-02,480.0,Dom Almeida,Abreu e Lima,SSD 1TB,Hardware,480
985,33,8,1,420.0,420.0,2024-08-02,420.0,Isabela das Neves,Jaboatão,HD 2TB,Hardware,420
2153,15,12,2,1550.0,3100.0,2024-08-03,3100.0,Sra. Ester Novaes,Paulista,Cadeira Gamer,Móveis,1550
2320,157,6,5,1700.0,8500.0,2024-08-03,8500.0,Bento Jesus,Garanhuns,Monitor 27,Monitores,1700
4992,19,14,2,450.0,900.0,2024-08-03,900.0,Maysa Borges,Recife,Microfone USB,Áudio,450
3342,54,8,5,420.0,2100.0,2024-08-03,2100.0,Maria Flor Silveira,Abreu e Lima,HD 2TB,Hardware,420
2322,130,15,2,5200.0,10400.0,2024-08-03,10400.0,Ana Laura Peixoto,Olinda,Placa de Vídeo RTX,Hardware,5200
3537,194,8,1,420.0,420.0,2024-08-04,420.0,Luiza Monteiro,Recife,HD 2TB,Hardware,420
1052,118,10,5,270.0,1350.0,2024-08-04,1350.0,Maria Luísa Pires,Jaboatão,Webcam Full HD,Vídeo,270
1781,95,7,2,480.0,960.0,2024-08-04,960.0,Dra. Letícia Melo,Garanhuns,SSD 1TB,Hardware,480
2799,148,10,4,270.0,1080.0,2024-08-04,1080.0,Rodrigo Andrade,Paulista,Webcam Full HD,Vídeo,270
1469,20,2,4,3900.0,15600.0,2024-08-04,15600.0,Ana Clara Melo,Igarassu,Notebook Lenovo,Informática,3900
4938,50,10,3,270.0,810.0,2024-08-04,810.0,Catarina Barros,Igarassu,Webcam Full HD,Vídeo,270
86,53,11,3,980.0,2940.0,2024-08-04,2940.0,Aylla Ramos,Petrolina,Impressora Epson,Escritório,980
4856,16,13,2,870.0,1740.0,2024-08-04,1740.0,Dr. Isaac Cunha,Paulista,Mesa Escritório,Móveis,870
549,20,3,4,180.0,720.0,2024-08-04,720.0,Ana Clara Melo,Igarassu,Mouse Gamer,Periféricos,180
174,38,3,2,180.0,360.0,2024-08-05,360.0,Francisco Mendonça,Cabo de Santo Agostinho,Mouse Gamer,Periféricos,180
4783,34,5,4,1100.0,4400.0,2024-08-05,4400.0,Raquel Ribeiro,Paulista,Monitor 24,Monitores,1100
1648,20,13,4,870.0,3480.0,2024-08-06,3480.0,Ana Clara Melo,Igarassu,Mesa Escritório,Móveis,870
2779,20,9,3,350.0,1050.0,2024-08-06,1050.0,Ana Clara Melo,Igarassu,Headset Gamer,Áudio,350
